"Erythroxylum_umbu";"Ouratea_parviflora";"Calophyllum_brasiliense";"Garcinia_gardneriana";"Humiriastrum_dentatum";"Monteverdia_gonoclada";"Guarea_macrophylla";"Cabralea_canjerana";"Tapirira_guianensis";"Matayba_guianensis";"Miconia_cubatanensis";"Myrcia_vellozoi";"Myrcia_brasiliensis";"Myrcia_hebepetala";"Myrcia_bicarinata";"Eugenia_subglomerata";"Eugenia_sulcata";"Eugenia_astringens";"Eugenia_stigmatosa";"Myrcia_glabra";"Myrcia_splendens";"Heisteria_silvianii";"Guapira_opposita";"Posoqueria_latifolia";"Cordiera_myrciifolia";"Amaioua_intermedia";"Chionanthus_filiformis";"Didymopanax_angustissimus";"Ilex_dumosa";"Ilex_pseudobuxus";"Ilex_theezans";"Ternstroemia_brasiliensis";"Myrsine_venosa";"Manilkara_subsericea";"Pouteria_beaurepairei";"Podocarpus_sellowii";"Euterpe_edulis";"Bactris_setosa";"Geonoma_schottiana";"Astrocaryum_aculeatissimum";"Mollinedia_schottiana";"Aiouea_saligna";"Ocotea_pulchra";"Ocotea_dispersa";"Ocotea_pulchella";"Ocotea_venulosa";"Guatteria_australis";"Xylopia_langsdorffiana";"Andira_anthelmia";"Albizia_pedicellaris";"Pera_glabrata";"Croton_sphaerogynus";"Aparisthmium_cordatum";"Alchornea_triplinervia"
"Erythroxylum_umbu";0;0.308222289277361;0.462208483153725;0.462208483153725;0.768880679086;0.923374624228308;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.07699498037401;1.07699498037401;0.615388044091567;0.615388044091567;0.615388044091567;0.615388044091567
"Ouratea_parviflora";0.308222289277361;0;0.462208483153725;0.462208483153725;0.768880679086;0.923374624228308;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.07699498037401;1.07699498037401;0.615388044091567;0.615388044091567;0.615388044091567;0.615388044091567
"Calophyllum_brasiliense";0.462208483153725;0.462208483153725;0;0.231754242744604;0.768880679086;0.923374624228308;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.07699498037401;1.07699498037401;0.615388044091567;0.615388044091567;0.615388044091567;0.615388044091567
"Garcinia_gardneriana";0.462208483153725;0.462208483153725;0.231754242744604;0;0.768880679086;0.923374624228308;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.07699498037401;1.07699498037401;0.615388044091567;0.615388044091567;0.615388044091567;0.615388044091567
"Humiriastrum_dentatum";0.768880679086;0.768880679086;0.768880679086;0.768880679086;0;0.923374624228308;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.07699498037401;1.07699498037401;0.768880679086;0.768880679086;0.768880679086;0.768880679086
"Monteverdia_gonoclada";0.923374624228308;0.923374624228308;0.923374624228308;0.923374624228308;0.923374624228308;0;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.07699498037401;1.07699498037401;0.923374624228308;0.923374624228308;0.923374624228308;0.923374624228308
"Guarea_macrophylla";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0;0.136045675449266;0.273827423297791;0.273827423297791;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Cabralea_canjerana";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.136045675449266;0;0.273827423297791;0.273827423297791;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Tapirira_guianensis";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.273827423297791;0.273827423297791;0;0.138748626582367;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Matayba_guianensis";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.273827423297791;0.273827423297791;0.138748626582367;0;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
