"Byrsonima_ligustrifolia";"Erythroxylum_umbu";"Calophyllum_brasiliense";"Clusia_criuva";"Humiriastrum_dentatum";"Monteverdia_gonoclada";"Daphnopsis_racemosa";"Guarea_macrophylla";"Miconia_sp";"Miconia_flammea";"Miconia_cubatanensis";"Miconia_fasciculata";"Blepharocalyx_salicifolius";"Myrcia_brasiliensis";"Myrcia_hebepetala";"Myrcia_ilheosensis";"Myrcia_bicarinata";"Myrcia_glomerata";"Siphoneugena_guilfoyleiana";"Eugenia_sulcata";"Myrcia_racemosa";"Psidium_cattleyanum";"Myrcia_glabra";"Myrcia_splendens";"Myrcia_multiflora";"Myrcia_macrocarpa";"Guapira_opposita";"Cordiera_myrciifolia";"Amaioua_intermedia";"Jacaranda_puberula";"Didymopanax_angustissimus";"Ilex_dumosa";"Ilex_pseudobuxus";"Ilex_theezans";"Ternstroemia_brasiliensis";"Myrsine_coriacea";"Myrsine_venosa";"Clethra_scabra";"Pouteria_beaurepairei";"Euterpe_edulis";"Geonoma_schottiana";"Aiouea_saligna";"Nectandra_grandiflora";"Ocotea_pulchella";"Guatteria_australis";"Xylopia_langsdorffiana";"Albizia_pedicellaris";"Hirtella_hebeclada";"Pera_glabrata";"Alchornea_triplinervia"
"Byrsonima_ligustrifolia";0;0.156365229615675;0.462208483153725;0.462208483153725;0.768880679086;0.923374624228308;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.07699498037401;0.615388044091567;0.615388044091567;0.615388044091567
"Erythroxylum_umbu";0.156365229615675;0;0.462208483153725;0.462208483153725;0.768880679086;0.923374624228308;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.07699498037401;0.615388044091567;0.615388044091567;0.615388044091567
"Calophyllum_brasiliense";0.462208483153725;0.462208483153725;0;0.231754242744604;0.768880679086;0.923374624228308;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.07699498037401;0.615388044091567;0.615388044091567;0.615388044091567
"Clusia_criuva";0.462208483153725;0.462208483153725;0.231754242744604;0;0.768880679086;0.923374624228308;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.07699498037401;0.615388044091567;0.615388044091567;0.615388044091567
"Humiriastrum_dentatum";0.768880679086;0.768880679086;0.768880679086;0.768880679086;0;0.923374624228308;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.07699498037401;0.768880679086;0.768880679086;0.768880679086
"Monteverdia_gonoclada";0.923374624228308;0.923374624228308;0.923374624228308;0.923374624228308;0.923374624228308;0;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.07699498037401;0.923374624228308;0.923374624228308;0.923374624228308
"Daphnopsis_racemosa";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0;0.411410094981651;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Guarea_macrophylla";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.411410094981651;0;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Miconia_sp";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0;0.135980619196656;0.135980619196655;0.135980619196655;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Miconia_flammea";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.135980619196656;0;0.0683374156095055;0.0683374156095055;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Miconia_cubatanensis";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.135980619196655;0.0683374156095055;0;0.0341880782231312;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Miconia_fasciculata";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.135980619196655;0.0683374156095055;0.0341880782231312;0;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Blepharocalyx_salicifolius";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0;0.0686333454791756;0.0686333454791756;0.0686333454791756;0.0686333454791756;0.0686333454791756;0.0686333454791756;0.0686333454791756;0.0686333454791756;0.136752641078091;0.136752641078091;0.136752641078091;0.205161689874464;0.205161689874464;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
